[1.0436739e-04 9.9987864e-01 1.6901971e-05], SITTING
[1.03938546e-04 9.99879122e-01 1.68879942e-05], SITTING
[1.0501040e-04 9.9987805e-01 1.6890552e-05], SITTING
[1.04309394e-04 9.99878764e-01 1.69181330e-05], SITTING
[1.0441528e-04 9.9987864e-01 1.6909647e-05], SITTING
[1.0459337e-04 9.9987853e-01 1.6909646e-05], SITTING
[1.0436490e-04 9.9987864e-01 1.6910131e-05], SITTING
[1.0428393e-04 9.9987876e-01 1.6908682e-05], SITTING
[1.04848594e-04 9.99878168e-01 1.68959195e-05], SITTING
[1.0484309e-04 9.9987817e-01 1.6917913e-05], SITTING
[1.0422191e-04 9.9987888e-01 1.6939348e-05], SITTING
[1.04481005e-04 9.99878526e-01 1.69379855e-05], SITTING
[1.0427289e-04 9.9987876e-01 1.6894030e-05], SITTING
[1.04312385e-04 9.99878764e-01 1.69187133e-05], SITTING
[1.0458329e-04 9.9987853e-01 1.6922066e-05], SITTING
[1.04775536e-04 9.99878287e-01 1.69785599e-05], SITTING
[0.04416796 0.70240295 0.25342909], SITTING
[8.9036804e-01 4.1511384e-04 1.0921678e-01], STANDING
[9.9867862e-01 2.0977676e-04 1.1116251e-03], STANDING
[9.9897313e-01 2.1855043e-04 8.0832862e-04], STANDING
[9.9909329e-01 1.9525323e-04 7.1154127e-04], STANDING
[9.9905998e-01 2.0220422e-04 7.3781499e-04], STANDING
[9.990889e-01 2.022037e-04 7.089203e-04], STANDING
[9.9912387e-01 1.9646436e-04 6.7964324e-04], STANDING
[9.9906296e-01 1.8812167e-04 7.4886065e-04], STANDING
[9.9824715e-01 2.6290576e-04 1.4899669e-03], STANDING
[9.9870324e-01 1.9248635e-04 1.1041840e-03], STANDING
[9.9910969e-01 1.9620430e-04 6.9409946e-04], STANDING
[9.9916470e-01 1.9128011e-04 6.4397691e-04], STANDING
[9.9914396e-01 1.9996249e-04 6.5608212e-04], STANDING
[9.9915886e-01 2.0095328e-04 6.4026861e-04], STANDING
[9.9920362e-01 1.8087958e-04 6.1543909e-04], STANDING
[9.9917245e-01 1.9414196e-04 6.3338509e-04], STANDING
[9.9918240e-01 2.0178226e-04 6.1582879e-04], STANDING
[9.9922025e-01 1.8411575e-04 5.9555110e-04], STANDING
[9.9917990e-01 1.9037853e-04 6.2973984e-04], STANDING
[9.9915862e-01 1.9850487e-04 6.4285530e-04], STANDING
[9.9917197e-01 1.9583404e-04 6.3221762e-04], STANDING
[9.9924159e-01 1.7426714e-04 5.8413617e-04], STANDING
[9.9922216e-01 1.5165456e-04 6.2617532e-04], STANDING
[9.9912924e-01 1.7993434e-04 6.9078046e-04], STANDING
[9.9915576e-01 1.8536510e-04 6.5894425e-04], STANDING
[9.99447286e-01 1.08281616e-04 4.44369914e-04], STANDING
[9.9825650e-01 1.9210322e-04 1.5514034e-03], STANDING
[0.9825272  0.0042811  0.01319166], STANDING
[0.14367597 0.0023212  0.8540029 ], WALKING
[9.8645932e-04 7.4044871e-04 9.9827313e-01], WALKING
[2.3306368e-03 1.2221315e-04 9.9754709e-01], WALKING
[0.00212618 0.9710631  0.02681082], SITTING
[1.0723608e-04 9.9987352e-01 1.9231451e-05], SITTING
[1.0377424e-04 9.9987924e-01 1.6923950e-05], SITTING
[1.1037282e-04 9.9987125e-01 1.8341954e-05], SITTING
[0.00495805 0.9863811  0.00866091], SITTING
[1.10952137e-03 1.08713866e-04 9.98781741e-01], WALKING
[2.2666793e-02 7.0173555e-04 9.7663146e-01], WALKING
[5.9885555e-03 8.9751557e-05 9.9392176e-01], WALKING
[1.895917e-03 5.966572e-05 9.980444e-01], WALKING
[0.02852781 0.00416458 0.9673076 ], WALKING
[0.0063311  0.00861869 0.98505026], WALKING
[5.6292899e-03 4.3057062e-04 9.9394011e-01], WALKING
[8.6043645e-03 3.9027267e-04 9.9100542e-01], WALKING
[0.06701875 0.00227842 0.9307028 ], WALKING
[6.5542348e-03 5.3232873e-04 9.9291342e-01], WALKING
[2.6977837e-02 3.5635169e-04 9.7266579e-01], WALKING
[1.3422324e-02 8.0599135e-04 9.8577166e-01], WALKING
[3.0076285e-03 2.0109637e-04 9.9679130e-01], WALKING
[5.7645645e-03 2.2628234e-04 9.9400914e-01], WALKING
[4.3157944e-03 1.3571738e-04 9.9554849e-01], WALKING
[9.41093732e-03 1.13258255e-04 9.90475833e-01], WALKING
[6.5570027e-02 8.9651422e-04 9.3353343e-01], WALKING
[0.02820581 0.00129088 0.9705033 ], WALKING
[4.4621550e-03 2.5997305e-04 9.9527788e-01], WALKING
[2.4418344e-03 1.3422740e-04 9.9742401e-01], WALKING
[3.0816530e-03 2.7071155e-04 9.9664766e-01], WALKING
[5.1899655e-03 4.3552980e-04 9.9437451e-01], WALKING
[2.616030e-03 6.716512e-04 9.967123e-01], WALKING
[8.9683931e-04 8.7707507e-05 9.9901545e-01], WALKING
[2.2281674e-03 3.0718592e-04 9.9746466e-01], WALKING
[3.3696883e-03 3.0050881e-04 9.9632984e-01], WALKING
