[3.8242093e-03 3.7495342e-05 9.9613827e-01], WALKING
[7.2500203e-04 4.6477166e-05 9.9922848e-01], WALKING
[0.01229889 0.00198119 0.98572   ], WALKING
[1.6964265e-03 7.8571335e-05 9.9822503e-01], WALKING
[4.1653527e-04 7.6528879e-05 9.9950695e-01], WALKING
[3.6583739e-04 9.1533824e-05 9.9954271e-01], WALKING
[6.0738833e-04 7.8836296e-05 9.9931383e-01], WALKING
[1.6702141e-03 1.0530668e-04 9.9822444e-01], WALKING
[7.6034490e-04 1.0472421e-04 9.9913496e-01], WALKING
[3.7748397e-03 2.0093433e-04 9.9602425e-01], WALKING
[1.4879359e-03 2.8195776e-04 9.9823016e-01], WALKING
[1.6677029e-04 7.7919249e-05 9.9975532e-01], WALKING
[3.1994472e-03 3.8273272e-05 9.9676228e-01], WALKING
[6.8623701e-04 1.9993111e-04 9.9911386e-01], WALKING
[1.2626474e-03 8.4791478e-05 9.9865258e-01], WALKING
[3.4967143e-04 6.1770079e-05 9.9958855e-01], WALKING
[5.5224099e-04 6.0225084e-06 9.9944168e-01], WALKING
[1.6373112e-03 6.1946652e-05 9.9830073e-01], WALKING
[6.7114498e-04 1.6025781e-04 9.9916863e-01], WALKING
[1.6094964e-03 1.2014046e-04 9.9827039e-01], WALKING
[2.5260733e-03 1.5941112e-04 9.9731451e-01], WALKING
[6.6889809e-03 4.3173553e-05 9.9326789e-01], WALKING
[5.5063786e-03 7.5631993e-05 9.9441803e-01], WALKING
[0.00734992 0.0012199  0.9914302 ], WALKING
[0.00321883 0.00187249 0.99490863], WALKING
[3.8677654e-03 1.0145797e-04 9.9603075e-01], WALKING
[1.2413863e-02 4.5021967e-05 9.8754114e-01], WALKING
[0.30998027 0.0009265  0.68909323], WALKING
[0.8516081  0.03866034 0.10973155], STANDING
[9.9385756e-01 5.6196502e-03 5.2285747e-04], STANDING
[9.9257153e-01 7.0288810e-03 3.9958881e-04], STANDING
[9.9922764e-01 4.4537711e-04 3.2700415e-04], STANDING
[9.8402321e-01 1.5279953e-02 6.9683854e-04], STANDING
